ID,mass,type,site,element_Rb,element_Sr,element_Y,element_Zr
297024f,0.453,Blade,Chagha Sefid,237,45,28,332
297024g,0.453,Blade,Chagha Sefid,238,47,30,326
297024h,0.682,Blade,Chagha Sefid,217,42,26,318
297024i,0.369,Blade,Chagha Sefid,249,48,31,337
297024j,0.308,Blade,Chagha Sefid,234,46,30,321
297024k,0.299,Blade,Chagha Sefid,250,48,28,343
297024L,0.184,Blade,Chagha Sefid,243,46,28,330
297024m,0.183,Blade,Chagha Sefid,250,50,30,339
297024n,0.216,Blade,Chagha Sefid,252,49,29,337
297024o,0.484,Blade,Chagha Sefid,241,48,29,331
297024p,0.288,Blade,Chagha Sefid,224,42,27,320
297024q,0.539,Blade,Chagha Sefid,236,44,27,328
297024r,0.38,Blade,Chagha Sefid,234,45,28,328
297024s,0.374,Blade,Chagha Sefid,238,45,29,335
297024t,0.322,Blade,Chagha Sefid,242,48,28,337
297024u,0.278,Blade,Chagha Sefid,243,48,31,331
297024v,0.182,Blade,Chagha Sefid,248,48,29,333
297024w,0.191,Blade,Chagha Sefid,252,50,31,338
297024x,0.284,Blade,Chagha Sefid,250,49,31,342
297024y,0.235,Blade,Chagha Sefid,232,46,28,320
297024z,0.123,Blade,Chagha Sefid,249,49,31,327
297025a,0.402,Blade,Chagha Sefid,255,48,31,338
297026a,0.403,Blade,Chagha Sefid,232,45,28,324
297027a,0.553,Blade,Chagha Sefid,231,44,29,329
297028a,0.591,Flake,Chagha Sefid,226,42,29,322
297028c,0.606,Flake,Chagha Sefid,233,45,28,323
297028d,0.37,Flake,Chagha Sefid,242,49,28,341
297028e,1.154,Flake (listed as),Chagha Sefid,247,47,29,345
297028g,2.256,Flake,Chagha Sefid,219,42,28,316
297028h,1.966,Flake,Chagha Sefid,228,44,28,324
297028i,0.628,Flake (listed as),Chagha Sefid,227,44,29,326
297028j,0.953,Flake (listed as),Chagha Sefid,220,41,26,315
297028k,4.317,Flake,Chagha Sefid,227,43,30,327
297028L,6.27,Flake,Chagha Sefid,222,47,27,320
297029e,0.754,Flake,Chagha Sefid,229,43,28,329
297030c,0.787,Flake,Chagha Sefid,234,47,27,339
297030d,0.678,Flake,Chagha Sefid,236,47,28,338
297030j,0.647,Flake,Chagha Sefid,222,45,28,324
297030o,0.33,Flake,Chagha Sefid,242,48,30,339
297030r,0.2,Flake,Chagha Sefid,256,52,31,343
297032a,0.504,Flake,Chagha Sefid,242,45,28,340
297032aa,0.251,Flake,Chagha Sefid,224,45,28,316
297032ab,0.292,Flake,Chagha Sefid,237,48,29,330
297032ac,0.171,Flake,Chagha Sefid,252,49,32,331
297032ad,0.375,Flake,Chagha Sefid,234,45,29,325
297032ae,0.583,Flake,Chagha Sefid,245,48,29,339
297032af,0.352,Flake,Chagha Sefid,230,43,28,331
297032ag,0.35,Flake,Chagha Sefid,235,44,27,330
297032ah,0.347,Flake,Chagha Sefid,232,44,28,329
297032ai,0.285,Flake,Chagha Sefid,228,43,30,323
297032aj,0.431,Flake,Chagha Sefid,220,43,26,315
297032ak,0.151,Flake,Chagha Sefid,250,49,29,334
297032aL,0.188,Flake,Chagha Sefid,246,47,31,333
297032am,0.229,Flake,Chagha Sefid,230,44,28,330
297032an,0.085,Flake,Chagha Sefid,274,54,32,342
297032ao,0.057,Flake,Chagha Sefid,291,58,33,354
297032ap,0.122,Flake,Chagha Sefid,266,50,31,342
297032aq,0.128,Flake,Chagha Sefid,244,48,28,339
297032ar,0.069,Flake,Chagha Sefid,243,47,28,324
297032as,0.057,Flake,Chagha Sefid,262,51,30,336
297032at,2.349,Flake,Chagha Sefid,242,48,32,335
297032au,0.803,Flake,Chagha Sefid,238,47,29,327
297032av,0.706,Flake,Chagha Sefid,243,47,28,337
297032aw,1.433,Flake,Chagha Sefid,226,43,28,321
297032ax,1.343,Flake,Chagha Sefid,249,48,29,346
297032ay,3.404,Flake,Chagha Sefid,226,43,27,328
297032az,1.022,Flake,Chagha Sefid,217,42,28,309
297032b,0.533,Blade,Chagha Sefid,233,43,28,329
297032ba,0.674,Flake,Chagha Sefid,229,43,30,330
297032bb,0.693,Flake,Chagha Sefid,243,48,29,339
297032bc,0.71,Flake,Chagha Sefid,250,50,32,333
297032bd,0.852,Flake,Chagha Sefid,259,49,30,350
297032be,1.113,Flake,Chagha Sefid,234,44,30,333
297032c,0.213,Flake,Chagha Sefid,279,55,33,350
297032d,0.898,Flake,Chagha Sefid,226,42,28,325
297032e,0.18,Flake,Chagha Sefid,272,54,33,345
297032f,0.434,Flake,Chagha Sefid,241,46,29,332
297032g,0.901,Flake,Chagha Sefid,243,45,31,333
297032h,0.487,Flake,Chagha Sefid,245,47,31,339
297032i,0.864,Flake,Chagha Sefid,223,41,27,317
297032k,0.596,Flake,Chagha Sefid,238,46,30,329
297032L,0.546,Flake,Chagha Sefid,243,47,28,337
297032m,0.709,Flake,Chagha Sefid,228,45,27,324
297032n,0.415,Flake,Chagha Sefid,255,48,31,343
297032o,0.434,Flake,Chagha Sefid,222,43,29,321
297032p,0.301,Flake,Chagha Sefid,258,50,31,344
297032q,160,Flake,Chagha Sefid,214,41,27,312
297032r,0.645,Flake,Chagha Sefid,260,51,30,342
297032s,0.411,Flake,Chagha Sefid,258,49,30,348
297032t,0.301,Flake,Chagha Sefid,251,51,32,337
297032u,0.29,Flake,Chagha Sefid,252,48,31,338
297032v,0.209,Flake,Chagha Sefid,242,45,28,334
297032w,0.536,Flake,Chagha Sefid,263,51,33,347
297032x,0.281,Blade,Chagha Sefid,238,45,29,326
297032y,0.312,Flake,Chagha Sefid,259,51,31,344
297032z,0.175,Flake,Chagha Sefid,234,46,29,326
297033a,5.512,core,Chagha Sefid,225,44,27,321
297033b,3.669,flake,Chagha Sefid,224,47,28,324
297033c,2.834,core,Chagha Sefid,230,45,27,332
297033d,1.671,core,Chagha Sefid,225,42,27,323
297033e,2.595,core,Chagha Sefid,224,44,29,322
297033f,2.315,core,Chagha Sefid,218,42,27,318
297033g,2.379,core,Chagha Sefid,220,45,27,321
297033h,2.873,flake,Chagha Sefid,218,41,28,314
297033i,1.284,blade,Chagha Sefid,217,46,27,310
